date,week_number,state,district,class,boys_enrolled,girls_enrolled,teacher_present,mdm_served,data_source
2026-03-21,1,Uttar Pradesh,LUCKNOW,1,38,26,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,LUCKNOW,2,33,25,1,0,demo_generated
2026-03-21,1,Uttar Pradesh,LUCKNOW,3,47,33,1,0,demo_generated
2026-03-21,1,Uttar Pradesh,LUCKNOW,4,31,31,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,LUCKNOW,5,36,12,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,LUCKNOW,6,26,29,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,LUCKNOW,7,46,25,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,LUCKNOW,8,30,28,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,VARANASI,1,30,25,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,VARANASI,2,34,19,1,0,demo_generated
2026-03-21,1,Uttar Pradesh,VARANASI,3,41,18,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,VARANASI,4,24,29,0,1,demo_generated
2026-03-21,1,Uttar Pradesh,VARANASI,5,40,29,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,VARANASI,6,34,25,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,VARANASI,7,31,36,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,VARANASI,8,37,24,1,0,demo_generated
2026-03-21,1,Uttar Pradesh,AGRA,1,29,32,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,AGRA,2,43,35,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,AGRA,3,28,25,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,AGRA,4,31,26,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,AGRA,5,41,38,0,1,demo_generated
2026-03-21,1,Uttar Pradesh,AGRA,6,37,22,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,AGRA,7,34,40,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,AGRA,8,35,25,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,KANPUR,1,33,30,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,KANPUR,2,28,23,0,1,demo_generated
2026-03-21,1,Uttar Pradesh,KANPUR,3,42,29,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,KANPUR,4,35,35,1,0,demo_generated
